schema_name,table_name,column_name,ordinal,data_type,nullable,is_pk,metric_class,min_role_level,is_identity,aggregation_rule,enum_values,description
ci_core,dim_opco,opco_code,1,text,FALSE,TRUE,key,EXEC,FALSE,NONE,"[""NORTHCO"",""NORTHCO_MART"",""NORTHCO_CREDIT"",""NORTHCO_BANK"",""N360""]","Primary key, and the value every fact's opco_code carries."
ci_core,dim_opco,opco_name,2,text,FALSE,FALSE,dimension,EXEC,FALSE,NONE,"[""NorthCo"",""NorthCo Mart"",""NorthCo Credit"",""NorthCo Bank"",""N360""]","Display label. Filter on opco_code, not on this."
ci_core,dim_opco,opco_type,3,text,FALSE,FALSE,dimension,EXEC,FALSE,NONE,"[""GROUP"",""OPERATING""]","GROUP for the holding entity, OPERATING for a trading OpCo."
ci_core,dim_opco,business_domain,5,text,FALSE,FALSE,dimension,EXEC,FALSE,NONE,"[""RETAIL"",""FINANCIAL_SERVICES"",""BANKING""]","Selects OpCos by kind - retail, financial services, banking - without naming each one."
ci_core,dim_opco,is_active,6,boolean,FALSE,FALSE,dimension,EXEC,FALSE,NONE,,"False for wound-down OpCos, which still have historical rows."
ci_core,dim_store,store_id,1,bigint,FALSE,TRUE,key,EXEC,FALSE,NONE,,Unique only WITHIN an OpCo - NorthCo 1011 and NorthCo Mart 1011 are different stores. Every join to a fact must match opco_code as well.
ci_core,dim_store,opco_code,2,text,FALSE,FALSE,dimension,EXEC,FALSE,NONE,"[""NORTHCO"",""NORTHCO_MART"",""NORTHCO_CREDIT"",""NORTHCO_BANK""]",", and half of the join key to any fact."
ci_core,dim_store,store_name,3,text,FALSE,FALSE,dimension,EXEC,FALSE,NONE,,"Branch name, trigram-indexed. Often implies the area but is not a reliable geography - use store_location for that."
ci_core,dim_store,store_type,4,text,TRUE,FALSE,dimension,EXEC,FALSE,NONE,,Store format or banner. Filter here for a chain such as Wellness or FreshMart; filter store_name for one branch.
ci_core,dim_store,store_location,5,text,TRUE,FALSE,dimension,EXEC,FALSE,NONE,"[""Metro Valley"", ""Central"", ""Northern"", ""Southern"", ""East Coast"", ""Eastern Isles"", ""Unclassified""]","Standardized trading region. THE column for any regional question. Unclassified means the source carries no geography for that store, so it is not an eighth region."
